Ticker|Name|Exchange|Country
20729403.SG|MARKET VEC US L USD|STU|Germany
19096096.SG|MARKET VEC GLB. USD|STU|Germany
26773645.SG|LATTICE RISK PR USD|STU|Germany
D1AV.DE|DBIX INDIA KURSINDEX USD|GER|Germany
23585814.Z|STXNORSQ20 EUR P|ZRH|Switzerland
^NQKR0001LMCADT|NASDAQ Korea Oil & Gas Large Mi|NIM|USA
^NQUSS5753JPYN|NQ US Sm Cap Hotels JPY NTR Ind|NIM|USA
^NQUSB2720LMJPYT|NQ US  General Inds Large Mid C|NIM|USA
^NQKRSCEUR|NASDAQ Korea Small Cap EUR Inde|NIM|USA
^NQUSS1500CADT|NASDAQ US 1500 CAD TR Index|NIM|USA
^YHOH886|||
^NQUSS2791AUD|NQ US Sm Cap Bus Support Svcs A|NIM|USA
IMFED.PA|LYXOR MFED|PAR|France
IRUSV.PA|LYXOR RUSV VLI|PAR|France
^NQUSB0570LMAUDN|NQ US  Oil Eqpt, Svcs & Distr L|NIM|USA
WIEXUKS2350.L|FTSE EXK - CONSTMAT|FSI|UK
WIMEX3720.FGI|FTSE MEX - HOUSGOOD|FGI|UK
^NQUSB2793CAD|NQ US Bnchmk Bus Trng & Empl Ag|NIM|USA
JXQF.DE|XPECT NL COH. 1950-1954 F|GER|Germany
26709141.DE|V-VSTOXX 6M IN XXP|GER|Germany
^NQUSB9570LMAUDN|NQ US  Tech Hardware & Eqpt Lg |NIM|USA
WITHA1770.FGI|FTSE THAI MINNG|FGI|UK
21679821.SG|GURU US LN GR US|STU|Germany
^NQDMXNAXKRMCJPYT|Nasdaq DM Ex NA Ex Korea Mid Ca|NIM|USA
^NQEMASIA8600T|NASDAQ EM Asia Real Estate TR I|NIM|USA
^NQJP8300JPYN|NASDAQ Japan Banks JPY NTR Inde|NIM|USA
^NQUSB8630LM|NQ US  Real Estate Inv & Svcs L|NIM|USA
^NQUSS3767JPYT|NQ US Sm Cap Psnl Products JPY |NIM|USA
D1EK.DE|DAXPLUS EXP STR K|GER|Germany
WINORDS7000.L|FTSE ND-UTILITIES|FSI|UK
^RIR|Russell 1000 Index Settlement V|CBO|USA
^DRLGRT|Transparent Value Large Cap Gro|SNP|USA
^NQJP5500EURN|NASDAQ Japan Media EUR NTR Inde|NIM|USA
WICAN8000.L|FTSE CAN-FINANCIALS|FSI|UK
^NQUSM4573JPYN|NQ US Md Cap Biotech JPY NTR In|NIM|USA
XBIGF.Z|STXEXERTMMD EUR P|ZRH|Switzerland
INTDT.PA|THINK CAP. AEX VLI|PAR|France
^NQUSS3300CAD|NQ US Sm Cap Auto & Parts CAD I|NIM|USA
WIXJAS5370.L|FTSE XJA-GENERAL|FSI|UK
WIXJAS4570.L|FTSE XJA-PHARMACEUT|FSI|UK
N8WH.DE|CSGLOB ALT EN PE CH|GER|Germany
^NQDMASPA2000AUD|NASDAQ DM ASPA Inds AUD Index|NIM|USA
Q09F.Z|STXAM6T&L; EUR NR|ZRH|Switzerland
^NQHKSCAUDN|NASDAQ Hong Kong Small Cap AUD |NIM|USA
