Ticker|Name|Exchange|Country
HFHTX|Hartford Floating Rate High Inc R5|NAS|USA
VAPCX|Virtus Equity Trend C|NAS|USA
TADCX|Transamerica US Growth C|NAS|USA
30024951.SW|SWCIPFIEUS NH CHF|EBS|Austria
KR5306AW8289.KS|KTB Able Mezzanine PF Bond Balanced 3|KSC|Korea
PYMCX|PIMCO High Yield Municipal Bond C|NAS|USA
XQ1I.MU|FR TI GL BD AD|MUN|Germany
109350.BO|Canara Robeco Liquid Reg Wk Div|BSE|India
GMRAX|Nationwide Small Cap Index A|NAS|USA
F000001W5W.TO|Franklin Mutual US Shares T|TOR|Canada
XP6D.HM|JSS IN S  EQ W PD|HAM|Germany
JODMX|JOHCM US Small Mid Cap Equity Instl|NAS|USA
WESTPACAUSPR.AX|Westpac Aus Property Secs Retail|ASX|Australia
K55104B80652.KS|HI 2Star PF ELS-Derivatives 222|KSC|Korea
GB00B82VC222.L|Threadneedle High Yld Bd ZGA|LSE|UK
KR5301563247.KS|MiraeAsset Retirement Plan Fdr Eq-Bal 1|KSC|Korea
MNOAX|MainStay New York Tax Free Opp A|NAS|USA
MGWAX|Madison Large Cap Value A|NAS|USA
117942.BO|BNP Paribas Overnight Wk Div|BSE|India
NMECX|Nuveen Equity Market Neutral C|NAS|USA
XC4A.DU|FID MB GL AD|DUS|Germany
NCEAX|Neuberger Berman Greater China Eq A|NAS|USA
LBHIX|Thrivent High Yield I|NAS|USA
MSEIX|AMG Managers Special Equity Instl|NAS|USA
PDRBX|Putnam Dynamic Risk Allocation B|NAS|USA
27814295.IR|EARTH ELE 04/15/USD|ISE|UK
ENRIX|Eaton Vance Global Natural Resources I|NAS|USA
CTITX|Compass EMP Intl 500 Volatil Wtd T|NAS|USA
SURUSDBDF.MX|SURUSD BDF|MEX|Mexico
TBEGX|Touchstone Mid Cap Growth B|NAS|USA
XMGUX|Macquarie Global Infrastructure|NAS|USA
USPVX|Union Street Partners Value A|NAS|USA
FVDKX|Fidelity Value Discovery K|NAS|USA
MYHNX|MainStay High Yield Opportunities Inv|NAS|USA
GB00B0LYSG21.L|Henderson Instl Japan Enhanced Eq Z|LSE|UK
F00000LXWA.TO|CAN Cdn Lg Cap Balanced (M) 75/75|TOR|Canada
VCISX|Virtus International Small-Cap C|NAS|USA
GB00B8N44F71.L|IP Balanced Risk 6 Z Acc|LSE|UK
QUITABLEAMRF.TO|Equitable Life Mac Glbl Small Cap Gr Sel|TOR|Canada
SWESS2SRPRTD.TO|SunWise Essntl 2 Port Income Estate|TOR|Canada
FTDWX|Fidelity Advisor Asset Manager 20% T|NAS|USA
STARX|Astor S.T.A.R. ETF I|NAS|USA
K55237B03520.KS|JPMorgan Asia Dispersion Mstr Bond-FoF|KSC|Korea
DODGX|Dodge & Cox Stock|NAS|USA
SWLBX|Schwab Total Bond Market|NAS|USA
127043.BO|Motilal Oswal MOSt Foc Midcap 30 Dir Div|BSE|India
101818.BO|Birla Sun Life MIP II Wlth 25 Reg Gr|BSE|India
MIGCX|Oppenheimer Main Street C|NAS|USA
F00000THFK.KS|MiraeAsset Korea Plus Bond Balanced_B312|KSC|Korea
MXBIX|Great-West Bond Index Init|NAS|USA
FEIRX|Fidelity Advisor Equity Income T|NAS|USA
PLBBX|Plumb Balanced|NAS|USA
GB00B8BRMK99.L|Legg Mason IF Royce US Smlr Coms X Acc|LSE|UK
KR5307966071.KS|Yurie Super Beauty Feeder Equity C3|KSC|Korea
QMGYX|Oppenheimer Global Multi-Asset Growth Y|NAS|USA
GLDNX|Great Lakes Disciplined Equity Instl|NAS|USA
2658798.IR|ARN ASIAN ENTE K-06|ISE|UK
NWOSX|Nationwide Destination 2050 Instl Svc|NAS|USA
KR5205AZ2398.KS|KDB Future Plan Europe CB Lnkd PF Bd 4|KSC|Korea
678026.DE|Warburg Zukunft-Strategiefonds A|BER|Germany
SFBPX|Great-West SecureFoundation Bal ETF A|NAS|USA
KR5102AT9874.KS|UBSHana IPO & Governance Invmt Bd Bal CF|KSC|Korea
IE00BRJ6HL78.IR|Old Mutual Asian Equity Inc U1 GBP Inc|ISE|UK
F00000OQ49.TO|Standard Life S2 Id Quot B Gr 75PL|TOR|Canada
29578516.IR|BLACKROC I/I2/02/15|ISE|UK
TDJYX|AB Multi-Manager Select 2040 Advisor|NAS|USA
RFAYX|Russell Investment Grade Bond Y|NAS|USA
GB00B9471285.L|Threadneedle Target Ret Retl Z Grs EUR|LSE|UK
